,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
718,2008,Confirmed,Khem Sambo,,Cambodia,,,Male,,,Journalist,,Murder,Killed,Staff,Moneaseka Khmer,Print Reporter,Politics,Print,Cambodia,Phnom Penh,,,Phnom Penh,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 11, 2008","A journalist with the opposition-aligned Khmer-languagedaily Moneaseka Khmer,KhemSambo was shot twice while riding his motorcycle with his 21-year-oldson, according to international and local news reports. His son wasalso shot and killed. The gunmen, who wereon a motorcycle, sped away after the shooting, news reports said."
719,1992,Confirmed,Khushvaht Muborakshoev,,Tajikistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/muborakshoev-tajikistan.92.CJES.jpg,,Journalist,,Murder,Killed,Staff,Tajikistan State Television,Broadcast Reporter,,Television,Tajikistan,,,,,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"December, 1992","Muborakshoev, of Tajikistan State Television, was killed by members of the People’s Front, according to local journalists. He was a Pamiri."
720,1994,Confirmed,Khushvakht Haydarsho,,Tajikistan,,,Male,,,Journalist,,Murder,Killed,Staff,Jumhuriyat,Columnist/Commentator,"Corruption,Crime",Print,Tajikistan,Dushanbe,,,Dushanbe,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 18, 1994","Haydarsho, secretary of the editorial board of the Tajik-language government newspaper Jumhuriyat, was shot dead near his home in Dushanbe. Local journalists believe his murder is connected to a series of articles he published on “the criminal and political mafia” in Tajikistan."
721,2017,Confirmed,Kim Wall,,Sweden,,,Female,https://cpj-photos.s3.amazonaws.com/Kim%20Wall-1-2017-08-30-1504125125586.jpg,Tom Wall,Journalist,Killed,Dangerous Assignment,Killed,Freelance,Freelance,Print Reporter,"Culture,Human Rights,Politics",Print,Denmark,Copenhagen,,,Copenhagen,,Foreign,Local Residents,Confirmed,,Yes,,,,,,,,,,,,,,"August 10, 2017","Swedish freelance journalist Kim Wall, 30, disappeared off the coast of Copenhagen, Denmark, on August 10, 2017, after boarding an amateur-built submarine to interview its owner, Peter Madsen, according to reports."
722,2018,Confirmed,Kirill Radchenko,,Russia,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_KirillRadchenko_killed.jpg_5f6acad3-9b4c-4e31-806c-226c30522134.jpeg,Vasily Maximov/AFP,Journalist,Killed,Dangerous Assignment,Killed,Freelance,The Investigations Management Centre (TsUR),Camera Operator,"Human Rights,Business,Corruption,Crime,War,Politics",Television,Central African Republic,Kémo,,,,Kémo,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,No,,,,,,,,,,,,,,"July 30, 2018","Kirill Radchenko , a cameraperson, was killed with his two colleagues–documentary filmmaker Aleksandr Rastorguyev and freelance reporter Orkhan Dzhemal, –on July 30, 2018, in an attack on their vehicle while driving about 30 kilometers north of the town of Sibut in the Central African Republic, according to a Reuters report citing local officials and Russian media reports. He was 33 years old. A statement issued by the Moscow-based investigative media outlet The Investigations Management Centre (TsUR), which is financed by exiled Russian businessman Mikhail Khodorkovsky, said that the journalists were on assignment for TsUR investigating private Russian mercenaries, including a group known as Wagner that has been allegedly working in the Central African Republic. TsUR’s chief editor, Andrey Konyakhin, told CPJ the journalists left Moscow on July 27, and that the last communication with them was the evening of July 29."
723,1992,Confirmed,Kjasif Smajlovic,,Bosnia,,,Male,,,Journalist,,Murder,Killed,Staff,Oslobodjenje,Print Reporter,War,Print,Bosnia,Zvornik,,,Zvornik,,Local,Paramilitary Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"April 9, 1992","Smajlovic, the Zvornik correspondent for the Sarajevo-based daily Oslobodjenje, was killed in his office by Serbian soldiers, the newspaper said."
724,2005,Confirmed,Klein Cantoneros,,Philippines,,,Male,,,Journalist,,Murder,Killed,Freelance,DXAA-FM,Columnist/Commentator,"Corruption,Crime",Radio,Philippines,Dipolog City,,,Dipolog City,,Local,Government Officials,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"May 4, 2005","Cantoneros, a “block-time” radio broadcaster known for hard-hitting commentary, died after being shot as many as seven times by motorcycle-riding gunmen in Dipolog City on the southern island of Mindanao."
725,2004,Confirmed,Kotaro Ogawa,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance,Print Reporter,War,Print,Iraq,an area near Mahmoudiya ,,,an area near Mahmoudiya ,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,,"May 27, 2004","Shinsuke Hashida and his nephew Kotaro Ogawa, both freelance journalists, were killedalong with their translator when their car came under attack by Iraqigunmen near Mahmoudiya, 20 miles (30 kilometers) south of the capital,Baghdad, according to news reports. Bangkok-based freelancer Hashida and Ogawa had been traveling to Baghdadfrom the southern city of Samawah, where Japan deployed hundreds oftroops, when the attack occurred. Agence France-Presse listed thetranslator as Mohamed Najmedin. The Associated Press reported that the men were working for the Japanesetabloid daily Nikkan Gendai covering Japanese troops stationedin the southern city of Samawah. Japanese TV channel NHK reportedthat the two journalists had also worked for several other Japanesenews organizations. According to press reports, the journalists’ car burst into flamesafter the attack. AFP and Reuters reported that the car was hit byrocket-propelled grenade fire. The driver, an Iraqi who survived theattack, told NHK that he was able to exit the car before it exploded. Hashida’s body was badly burned in the fire. The AP reported thatOgawa’s body was found six miles (10 kilometers) from the wreck. Japanesepress reports said that Ogawa might have been executed by the gunmenafter fleeing or being taken away from the scene. Hashida was an experienced journalist who had covered several conflictsas a TV reporter, according to Japanese media reports."
726,1992,Confirmed,Kruno Marinovic,,Bosnia,,,Male,,,Journalist,,Murder,Killed,Staff,Croatian State Radio,Broadcast Reporter,War,Radio,Bosnia,Foca,,,Foca,,Local,Military Officials,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"April 14, 1992","Marinovic, a journalist for Croatian State Radio, disappeared from his home in Foca, Bosnia-Herzegovina, and is presumed dead. Some sources said he might have been abducted by the Yugoslav Army or armed Serb fighters."
727,2000,Confirmed,Kurt Schork,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kurt_schork_sierra-leone_2000.jpg,Reuters,Journalist,,Crossfire,Killed,Staff,Reuters,Print Reporter,War,Print,Sierra Leone,Rogberi Junction,,,Rogberi Junction,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,,"May 24, 2000","Kurt Schork, veteran Reuters coresspondent, and Miguel Gil Moreno de Mora, Associated Press cameraman, were killed in an ambush by rebels of the Revolutionary United Front (RUF)."
728,1996,Confirmed,Kutlu Adali,,Cyprus,,,Male,,,Journalist,,Murder,Killed,Staff,Yeni Düzen,Columnist/Commentator,"Corruption,Crime",Print,Cyprus,Lefkosa,,,Lefkosa,,Local,Paramilitary Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"July 6, 1996","On July 6, 1996, Kutlu Adalı, 61, a political columnist with the leftist newspaper Yeni Düzen was fatally shot in front of his home in Turkish-occupied Northern Cyprus, according to media reports."
729,1994,Confirmed,Lahcene Bensaadallah,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,El-Irshad,Editor,Politics,Print,Algeria,Algiers,,,Algiers,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 12, 1994","Bensaadallah, director of El-Irshad, a publication affiliated with the moderate Islamist party Hamas, was shot and killed outside his home in Badr, a neighborhood in Algiers."
730,2006,Confirmed,Laith al-Dulaimi,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Nahrain,Broadcast Reporter,War,Television,Iraq,south of Baghdad,,,south of Baghdad,,Local,,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"May 8, 2006","Al-Dulaimi, a reporter for the privately owned TV station Al-Nahrain, and Muazaz Ahmed Barood, a telephone operator for the station, were kidnapped by men dressed as police officers at Diyala Bridge. The two were driving home to Madain, a town 12 miles (19 kilometers) southeast of Baghdad, Abdulkarim al-Mehdawi, the station’s general manager, told CPJ."
731,2004,Confirmed,Lanka Jayasundara,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Wijeya Publications,Print Reporter,"Culture,Sports",Print,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"December 11, 2004",Jayasundarawas killed in a December 11 grenade attack at amusic concert that had drawn controversy because it was held on theanniversary of a Buddhist cleric’s death.
732,1998,Confirmed,Larisa Yudina,,Russia,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/yudina-larisa.russia.1.1998.jpg,CJES,Journalist,,Murder,Killed,Staff,Sovietskaya Kalmykia Segodnya,Editor,Corruption,Print,Russia,Elista,,,Elista,,Local,Government Officials,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,,"June 8, 1998","Yudina, editor of Sovietskaya Kalmykia Segodnya, the only alternative news outlet in Kalmykia, was found dead of multiple stab wounds and a fractured skull on the outskirts of Elista, capital of the Russian autonomous republic of Kalmykia. Yudina, a political activist, was frequently harassed and threatened for her exposés of local corruption and hard-line rule by the republic’s president, Kirsan Ilyumzhinov. On the day of her disappearance, June 7, she went to meet a source who was to provide evidence of financial improprieties by local firms. Roreign and Russian press freedom groups had documented Yudina’s troubles with Kalmyk authorities as a journalist and as local leader of the liberal opposition Yabloko party. The public outcry over her death caused the federal prosecutor to take over the case, and three suspects were arrested."
733,2016,Confirmed,Larry Que,,Philippines,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/LarryQue_July2013Facebook.jpg_c77b4563-d70d-4dda-b091-ad26c5ef2fad.jpeg,Facebook/Larry Que,Journalist,,Murder,Killed,Staff,Catanduanes News Now,"Columnist/Commentator,Publisher/Owner","Corruption,Crime,Politics",Print,Philippines,"Virac, Catanduanes",,,"Virac, Catanduanes",,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"December 20, 2016","Larry Que, publisher of the weekly community newspaper Catanduanes News Now, was shot in the head at close range on December 19, 2016, while entering an office building in Virac, in the northeastern province of Catanduanes, according to news reports."
734,2009,Confirmed,Lasantha Wickramatunga,,Sri Lanka,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/lasantha_wickramatunga.jpg,Courtesy Wickrematunge family,Journalist,,Murder,Killed,Staff,The Sunday Leader,Editor,"Human Rights,Politics,War",Print,Sri Lanka,an area outside Colombo,,,an area outside Colombo,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"January 8, 2009",Eight helmeted men on four motorcycles forced Wickramatunga’scar to the side of a busy street outside Colomboand beat him with iron bars and wooden poles. He died in a local hospital a fewhours later.
735,2012,Confirmed,Lawrence Fahmy al-Naimi,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Shaam News Network,Camera Operator,"Human Rights,War",Internet,Syria,Damascus,,,Damascus,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"May 27, 2012","Al-Naimi, the head of live-streaming for the citizen newsorganization Shaam News Network, was killed alongwith two colleagues–Ammar Mohamed Suhail Zado, Shaam’s Homs director, and AhmedAdnan al-Ashlaq, a correspondent–while filming clashes between security forcesand armed rebels in Damascus. The journalists were in an apartment in theAl-Midan neighborhood when their building was shelled by security forces,according to a Shaam News Network representative who spoke on condition ofanonymity."
736,2006,Confirmed,Layal Najib,,Lebanon,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/layal_najib_lebanon_2006.jpg,AFP,Journalist,,Crossfire,Killed,Freelance,freelance,Photographer,War,Print,Lebanon,Sadiqeen,,,Sadiqeen,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"July 23, 2006","Najib, 23, a freelance photographer for the Lebanese magazine Al-Jarasand Agence France-Presse, was the sole journalist to be killed whenIsrael began attacks on Lebanon in response to a cross-border raid bythe Lebanese Shiite group Hezbollah."
737,2009,Confirmed,Lea Dalmacio,,Philippines,,,Female,,,Journalist,,Murder,Killed,Staff,Socsargen News,Print Reporter,Politics,Print,Philippines,Ampatuan,,,Ampatuan,,Local,Government Officials,Confirmed,,,Partial Impunity,Yes,Yes,No,,,,,,,,,,"November 23, 2009","In the deadliest event for the press ever recorded by CPJ, 30 Philippine journalists and two media support workers were ambushed and brutally slain on November 23 as they traveled in Maguindanao province with a convoy of people who intended to file gubernatorial candidacy papers for a local politician. In all, 57 people were killed in a shocking display of barbarism apparently motivated by political clan rivalries. Most of the bodies were dumped in a mass hillside grave in the town of Ampatuan."
738,2012,Confirmed,Leiron Kogoya,,Indonesia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Papua Pos Nabire and Pasifik Pos Dail,Print Reporter,"Culture,Human Rights,Politics","Print,Internet",Indonesia,Mulia,,,Mulia,,Local,,Confirmed,,,,,,,,,,,,,,,,"April 8, 2012","Gunmen opened fire on a small plane landing at an airport inMulia, a town in the restive Papua region, killing Kogoya and injuring fourpassengers, according to newsreports. Kogoya, 35, was a reporter for the local newspapers PapuaPos Nabire and Pasifik Pos Dail. “He had returned to the area tomeet his family and help with the coverage of elections,” Angelbertha Sinaga,the editor of the Papua Pos media group, told reporters, according to newsreports.  Local police pursued the gunmen but lost them in the ruggedterrain around the airport, news reports said. Initial news accounts reportedthat authorities had called it a “terrorist attack,” but were unable toestablish a motive. Papua is a remote, mountainous, and restive region withanti-government groups sporadically carrying out armed attacks."
739,2018,Confirmed,Leobardo Vázquez Atzin,,Mexico,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AFP_LeobardoVzquezAtzin_killed.jpg_2eb5db28-a253-4ff0-ac66-3ef6dd1af850.jpeg,Victoria Razo/AFP,Journalist,Killed,Murder,Killed,Staff,Enlace Informativo Regional,Internet Reporter,"Corruption,Crime,Politics",Internet,Mexico,Gutiérrez Zamora,,Veracruz,Gutiérrez Zamora,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"March 21, 2018","Unknown assailants shot dead Leobardo Vázquez Atzin on the evening of March 21, 2018, in a restaurant that he owned in Gutiérrez Zamora, a town approximately 200 miles east of Mexico City, according to news reports and Veracruz state authorities."
